METADATA,,,,,
title.en,List of Data Network Identification Codes (DNIC),,,,
title.es,Lista de códigos de identificación de red de datos (CIRD),,,,
title.fr,Liste des codes d'identification de réseau pour données (CIRD),,,,
country_or_area.en,Country/Area,,,,
dnic_number.en,DNIC No.,,,,
network_name.en,Name of network to which a DNIC is allocated,,,,
country_or_area.fr,Pays/Zone,,,,
dnic_number.fr,CIRD N°,,,,
network_name.fr,Nom du réseau auquel un CIRD est attribué,,,,
country_or_area.es,País/Zona,,,,
dnic_number.es,CIRD N.°,,,,
network_name.es,Nombre de la red a la cual se ha atribuido el CIRD,,,,
,,,,,
DATA,,,,,
CAYMAN ISLANDS,CAIMANES (ISLAS),CAYMAN (ILES),346 3,Cable and Wireless Packet Switching Node,
CHAD,CHAD,TCHAD,622 2,TCHADPAC,
CHILE,CHILE,CHILI,730 2,Red nacional de transmisión de datos,
CHINA,CHINA,CHINE,460 1,Teletex and low speed data network,
CHINA,CHINA,CHINE,460 200-207,China CAAC privileged data network,
CHINA,CHINA,CHINE,460 3,CHINAPAC,
CHINA,CHINA,CHINE,460 4,Reserved for public mobile data service,
CHINA,CHINA,CHINE,460 5,Public data network,
CHINA,CHINA,CHINE,460 6,Dedicated network,
CHINA,CHINA,CHINE,460 7,Dedicated network,
CHINA,CHINA,CHINE,460 8,Dedicated network,
CHINA,CHINA,CHINE,460 9,China Railcom PAC,
COLOMBIA,COLOMBIA,COLOMBIE,732 1,RED DE ALTA VELOCIDAD,
COSTA RICA ,COSTA RICA,COSTA RICA,712 0,RACSADATOS,
CÔTE D'IVOIRE,CÔTE D'IVOIRE,CÔTE D'IVOIRE,612 2,SYTRANPAC,
CROATIA,CROACIA,CROATIE,219 1,CROAPAK (Croatian Packet Switching Data Network),
CUBA,CUBA,CUBA,368 0,Servicios de información por conmutación de paquetes del IDICT,
CURAÇAO,CURAÇAO,CURAÇAO,362 0,TELEMATIC NETWORK,
CURAÇAO,CURAÇAO,CURAÇAO,362 1,DATANET CURACAO,
CYPRUS ,CHIPRE,CHYPRE ,280 2,"CYTAPAC – PSDN, subscribers with direct access",
CYPRUS ,CHIPRE,CHYPRE ,280 8,"CYTAPAC – PSDN, subscribers with access via telex",
CYPRUS ,CHIPRE,CHYPRE ,280 9,"CYTAPAC – PSDN, subscribers with access via PSTN – X.28, X.32",
CZECH REP.,REP. CHECA,RÉP. TCHÈQUE,230 1,Telefónica O2 Czech Repubic,
CZECH REP.,REP. CHECA,RÉP. TCHÈQUE,230 30,G-NET,
CZECH REP.,REP. CHECA,RÉP. TCHÈQUE,230 40-44,RadioNET,
DENMARK,DINAMARCA,DANEMARK,238 0,Tele Danmark A/S,
DENMARK,DINAMARCA,DANEMARK,238 1,DATEX (Circuit Switched Network),
DENMARK,DINAMARCA,DANEMARK,238 2,DATAPAK (Packet Switched Network),
DENMARK,DINAMARCA,DANEMARK,238 3,DATAPAK (Packet Switched Network),
DENMARK,DINAMARCA,DANEMARK,238 4,Transpac,
DENMARK,DINAMARCA,DANEMARK,238 5,SONOFON GSM,
DOMINICAN REP. ,DOMINICANA (REP.),DOMINICAINE (RÉP.),370 6,All America Cables and Radio Inc.,
EGYPT,EGIPTO,ÉGYPTE,602 6,EGYPTNET,
ESTONIA,ESTONIA,ESTONIE,248 0,ESTPAK,
FAROE ISLANDS,FEROE (ISLAS),FÉROE (ILES),288 1,FAROEPAC,
FIJI,FIJI,FIDJI,542 0,FIJPAK,
FIJI,FIJI,FIDJI,542 1,FIJINET,
FINLAND,FINLANDIA,FINLANDE ,244 2,Sonera Carrier Networks Oy,
FINLAND,FINLANDIA,FINLANDE ,244 3,Elisa Oyj,
FINLAND,FINLANDIA,FINLANDE ,244 4,Song Networks Oy,
FRANCE ,FRANCIA,FRANCE ,208 0,Réseau de transmission de données à commutation par paquets TRANSPAC,
FRANCE ,FRANCIA,FRANCE ,208 1,France de transit international,
FRANCE ,FRANCIA,FRANCE ,208 2,Grands services publics,
FRANCE ,FRANCIA,FRANCE ,208 3,Administrations,
FRANCE ,FRANCIA,FRANCE ,208 4,Air France,
FRANCE ,FRANCIA,FRANCE ,208 5,SIRIS,
FRANCE ,FRANCIA,FRANCE ,208 6,BT France,
FRANCE ,FRANCIA,FRANCE ,208 9,"Interconnexion entre le réseau public de transmission de données Transpac et    d'autres réseaux publics français, pour des services offerts en mode synchrone",
FRENCH POLYNESIA,POLINESIA FRANCESA,POLYNÉSIE FRANÇAISE,547 0,Transpac – Polynésie et opérateur public local,
GABON,GABÓN,GABON,628 0,GABONPAC (Réseau de transmission de données à commutation par paquets),
GABON,GABÓN,GABON,628 2,GABONPAC2,
GAMBIA,GAMBIA,GAMBIE,607 0,GAMNET,
GEORGIA,GEORGIA,GÉORGIE,282 1,IBERIAPAC,
GERMANY,ALEMANIA,ALLEMAGNE,262 1,ISDN/X.25,
GERMANY,ALEMANIA,ALLEMAGNE,262 2,Circuit Switched Data Service (DATEX-L),
GERMANY,ALEMANIA,ALLEMAGNE,262 4,Packet Switched Data Service (DATEX-P),
GERMANY,ALEMANIA,ALLEMAGNE,262 5,Satellite Services,
GERMANY,ALEMANIA,ALLEMAGNE,262 7,Teletex,
GERMANY,ALEMANIA,ALLEMAGNE,262 9,D2-Mannesmann,
GERMANY,ALEMANIA,ALLEMAGNE,263 1,CoNetP,
GERMANY,ALEMANIA,ALLEMAGNE,263 2,RAPNET,
GERMANY,ALEMANIA,ALLEMAGNE,263 3,DPS,
GERMANY,ALEMANIA,ALLEMAGNE,263 4,EkoNet,
GERMANY,ALEMANIA,ALLEMAGNE,263 6,ARCOR/PSN-1,
GERMANY,ALEMANIA,ALLEMAGNE,264 0,DETECON,
GERMANY,ALEMANIA,ALLEMAGNE,264 1,SCN,
GERMANY,ALEMANIA,ALLEMAGNE,264 2,INFO AG NWS,
GERMANY,ALEMANIA,ALLEMAGNE,264 4,IDNS,
GERMANY,ALEMANIA,ALLEMAGNE,264 5,ARCOR/otelo-net1,
GERMANY,ALEMANIA,ALLEMAGNE,264 6,EuroDATA,
GERMANY,ALEMANIA,ALLEMAGNE,264 7,ARCOR/otelo-net2,
GERMANY,ALEMANIA,ALLEMAGNE,264 8,SNSPac,
GERMANY,ALEMANIA,ALLEMAGNE,264 9,MMONET,
GERMANY,ALEMANIA,ALLEMAGNE,265 1,WestLB X.25 Net,
GERMANY,ALEMANIA,ALLEMAGNE,265 2,PSN/FSINFOSYSBW,
