Name,Address,Tel,Fax,Email,URL,OB
AT&T EasyLink Services,,,,,,491
AT&T Wireless Services,,,,,,753
"Esatel Communications, Inc. (Esatel)",,,,,,647
"Frontier Communication Services, Inc. (FCS)",,,,,,647
"L/Q Licensee, Inc. (LQL)",,,,,,647
"MCI International/WUI, Inc.",,,,,,477
"Mobile Communications Holdings, Inc.",,,,,,670
Publix Network Corporation (PUBLIX),,,,,,669
"TRT/FTC Communications, Inc. (TRT/FTC)",,,,,,478
TyCom (US) Inc.,,,,,,741
AT&T EasyLink Services,,,,,,491
