Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Vanuatu (Republic of) / VUT,,
Telecom Vanuatu Ltd.,TVL,Chris Bull
PO Box 146,,Tel +678 23000
PORT-VILA,,Fax +678 23499
,,E-mail
