METADATA,,,,,,,,,,,,,
title.en,List of terrestrial trunk radio mobile country codes,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS POUR LE SERVICE MOBILE DE RADIOCOMMUNICATION DE TERRE À RESSOURCES PARTAGÉES,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS PARA EL SERVICIO MÓVIL DE RADIOCOMUNICACIÓN CON CONCENTRACIÓN DE ENLACES TERRENALES v,,,,,,,,,,,,
title.ru,СПИСОК КОДОВ СТРАНЫ ДЛЯ ПОДВИЖНОЙ СВЯЗИ В СИСТЕМЕ НАЗЕМНОЙ ТРАНКИНГОВОЙ РАДИОСВЯЗИ,,,,,,,,,,,,
title.zh,地面集群无线电移动国家代码列表,,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية للبلدان للاتصالات الراديوية المتنقلة للأرض للاتصال البعيد ,,,,,,,,,,,,
locale.tmcc_code.en,Code (TMCC),,,,,,,,,,,,
locale.country_or_area.en,Country or Geographical Area,,,,,,,,,,,,
locale.note.en,Note,,,,,,,,,,,,
locale.reserved.en,Reserved,,,,,,,,,,,,
locale.tmcc_code.fr,Indicatif (TMCC),,,,,,,,,,,,
locale.country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,
locale.note.fr,Note,,,,,,,,,,,,
locale.reserved.fr,Réservé,,,,,,,,,,,,
locale.tmcc_code.es,Indicativo(TMCC),,,,,,,,,,,,
locale.country_or_area.es,País o zona geográfica,,,,,,,,,,,,
locale.note.es,Nota,,,,,,,,,,,,
locale.reserved.es,Reservado,,,,,,,,,,,,
locale.tmcc_code.ru,Код (TMCC),,,,,,,,,,,,
locale.country_or_area.ru,Страна или географическая зона ,,,,,,,,,,,,
228,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,,
230,Czech Republic,République tchèque,República Checa,Чешская Республика,捷克共和国,الجمهورية التشيكية,,,,,,,
231,Slovak Republic,République slovaque,República Eslovaca,Словацкая Республика,斯洛伐克共和国,الجمهورية السلوفاكية,,,,,,,
232,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,,
234,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,,
235,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,,
238,Denmark,Danemark,Dinamarca,Дания,丹麦,الدانمارك,,,,,,,
240,Sweden,Suède,Suecia,Швеция,瑞典,السويد,,,,,,,
242,Norway,Norvège,Noruega,Норвегия,挪威,النرويج,,,,,,,
244,Finland,Finlande,Finlandia,Финляндия,芬兰,فنلندا,,,,,,,
246,Lithuania (Republic of),Lituanie (République de),Lituania (República de),Литовская Республика,立陶宛（共和国）,جمهورية ليتوانيا,,,,,,,
247,Latvia (Republic of),Lettonie (République de),Letonia (República de),Латвийская Республика,拉脱维亚（共和国）,جمهورية لاتفيا,,,,,,,
