Saint-Marin,San Marino,San Marino,,,,,,,,,,Intelcom San Marino no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to Intelcom San Marino.,Intelcom San Marino no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a Intelcom San Marino,Intelcom San Marino n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de Intelcom San Marino. 
Sao Tomé-et-Principe,Sao Tome and Principe,Santo Tomé y Príncipe,TRUE,,,,,,,,,,,
Arabie saoudite,Saudi Arabia,Arabia Saudita,,,,,,,TRUE,TRUE,,,,
Serbie,Serbia,Serbia,TRUE,,TRUE,,,,,,,The Operator-Assisted Call Service for semi-automatic calls (inbound and outbound) is not admitted.,No se admiten llamadas semiautomáticas (de entrada y de salida) del servicio telefónico con asistencia de operadora,Le service d’appel avec assistance d’une opératrice pour les appels semi-automatiques (entrants et sortants) n'est pas admis. 
Seychelles,Seychelles,Seychelles,,,TRUE,,,,,,,,,
Singapour,Singapore,Singapur,,TRUE,,,,,,,,"Singapore Telecommunications Ltd (""SingTel""), Singapore, announces that incoming international operator-assisted calls and collect calls sent to Singapore Telecommunications Ltd (""SingTel"") will not be terminated to subscribers of MobileOne (Asia) Pte Ltd and StarHub Mobile Pte Ltd unless the subscribers of these two (2) mobile companies have specifically registered with SingTel to receive such calls. Singapore Telecom Mobile Pte Ltd (""SingTel Mobile"") will continue to accept such calls for termination to their subscribers.","Singapore Telecommunications Ltd (“SingTel”), Singapur, anuncia que las llamadas internacionales entrantes con asistencia de operadora y las llamadas de cobro revertido enviadas a Singapore Telecommunications Ltd (“SingTel”) no se transmitirán a los abonados de MobileOne (Asia) Pte Ltd. ni de StarHub Mobile Pte Ltd a menos que los abonados a estas dos (2) empresas de telefonía móvil estén inscritos en SingTel para la recepción de esas llamadas. Singapore Telecom Mobile Pte Ltd (“SingTel Mobile”) seguirá aceptando esas llamadas con terminación en sus abonados.","Singapore Telecommunications Ltd («SingTel»), Singapour, annonce que les appels internationaux entrants avec assistance d’une opératrice et les communications payables à l’arrivée à destination de Singapore Telecommunications Ltd («SingTel») ne seront pas acheminés vers les abonnés de MobileOne (Asia) Pte Ltd et StarHub Mobile Pte Ltd à moins que les abonnés de ces deux (2) compagnies de téléphonie mobile se soient enregistrés auprès de SingTel pour recevoir ces appels. Singapore Telecom Mobile Pte Ltd («SingTel Mobile») continuera à accepter ces appels à destination de ses abonnés."
Slovaquie,Slovakia,Eslovaquia,TRUE,TRUE,,,,,TRUE,TRUE,,,,
Slovénie,Slovenia,Eslovenia,,,,,,,,,,Telegrams with the special service TLXx (Telex delivery) are no longer admitted to and from Slovenia,No se aceptan con destino u origen en Eslovenia telegramas con el servicio especial TLXx (entrega de télex),Les télégrammes avec le service spécial TLXx (remise par télex) ne sont plus admis à destination et en provenance de la Slovénie. 
Sudafricaine (Rép.),South Africa,Sudafricana (Rep.),,,,,,,,,,"Telkom SA Ltd., Pretoria, announces that Letter telegrams (LT), Government letter telegrams (LTF) and telegrams with the special service URGENT (Urgent transmission and delivery) and LX (De luxe form) are not accepted to and from South Africa.","Telkom SA Ltd., Pretoria, anuncia que no se admiten con destino u origen en la República Sudafricana los telegramas-carta (LT), los telegramas-carta de Estado (LTF) ni los telegramas con servicio especial URGENT (transmisión y entrega urgentes) y LX (formulario de lujo)","Telkom SA Ltd., Pretoria, annonce que les télégrammes-lettres (LT), les télégrammes-lettres d'Etat (LTF) et les télégrammes avec le service spécial URGENT (transmission et remise urgentes) et LX (formule de luxe) ne sont pas acceptés à destination et en provenance de la République sudafricaine."
Sri Lanka,Sri Lanka,Sri Lanka,,,,TRUE,,,TRUE,TRUE,,No incoming calls are allowed for payphones in Sri Lanka,No se autorizan llamadas efectuadas a teléfonos públicos,Aucun appel entrant à destination de publiphones n'est admis au Sri Lanka.
