Autriche,Austria,Austria,TRUE,,,,,,,,,,,
Bangladesh,Bangladesh,Bangladesh,TRUE,,,,,,,,,,,
Barbade,Barbados,Barbados,,,TRUE,,,,,,,,,
Belgique,Belgium,Bélgica,,,,,,,,,,No collect calls are accepted between a foreign operator and Belgacom operator. Incoming collect calls are available through Belgium Direct Service.,No se aceptan llamadas de cobro revertido entre un operador extranjero y el operador Belgacom. La recepción de llamadas de cobro revertido se efectúa a través del servicio directo con Bélgica,Aucune communication payable à l'arrivée n'est acceptée entre un opérateur étranger et l'opérateur Belgacom. Il est possible d'utiliser le service Belgium Direct pour établir des communications entrantes payables à l'arrivée.
Belize,Belize,Belice,,,TRUE,TRUE,,,,,,,,
Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia y Herzegovina,TRUE,,,,,,,,,,,
Bulgarie,Bulgaria,Bulgaria,TRUE,TRUE,,,,,,,,Collect telephone calls and credit card telephone calls are accepted in Bulgaria only with those countries whose administrations have confirmed their agreement to the Bulgarian Administration in writing. The telegram service is no longer provided. The telex service is no longer provided.,Sólo se admiten llamadas telefónicas de cobro revertido y con tarjetas de crédito con los países cuyas administraciones hayan confirmado por escrito su acuerdo a la Administración búlgara. El servicio de telegramas está suprimido. El servicio télex está suprimido,Les communications téléphoniques payables à l’arrivée et avec cartes de crédit sont acceptées en Bulgarie qu’avec les pays dont les administrations ont confirmé par écrit leur accord à l’Administration bulgare. Le service des télégrammes n'est plus assuré. Le service télex n'est plus assuré.
Cayman (Iles),Cayman (Islands),Caimán (Islas),,,TRUE,,,,,,,,,
Colombie,Colombia,Colombia,,,TRUE,,,,,,,,,
Cook (Iles),Cook Islands,Cook (Islas),TRUE,,,,,,,,,,,
"Curaçao, Sint Maarten, Bonaire, Saint Eustatius et Saba","Curaçao, Sint Maarten, Bonaire, Sint Eustatius and Saba","Curaçao, Sint Maarten, Bonaire, San Eustatius y Saba",TRUE,TRUE,,,,,TRUE,TRUE,,,,
Chypre,Cyprus,Chipre,,,TRUE,,,,,,,CYTA no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to CYTA. ,CYTA no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a la CYTA.,La CYTA n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de la CYTA.
Tchèque (Rép.),Czech Rep.,Checa (Rep.),TRUE,,,,,,,,,,,
Danemark,Denmark,Dinamarca,,TRUE,,,,,,,,,,
Dominique,Dominica,Dominica,,,TRUE,,,,,,,,,
Féroé (Iles),Faroe (Island),Faroe (Islas),TRUE,TRUE,,,,,,,,,,
Fidji,Fiji,Fiji,TRUE,TRUE,TRUE,,,,,,,,,
Finlande,Finland,Finlandia,,,,,,,,,,Sonera announces the closure of the Booked Call Service (booked personal telephone calls requiring the dispatch of a messenger).,Sonera anuncia la clausura del servicio de petición de llamadas (llamadas telefónicas personales que requieren el envío de un mensajero),Sonera annonce la fermeture du service de réservation de communications (réservation de communications téléphoniques personnelles nécessitant l'envoi d'un messager).
France,France,Francia,,,,,,,,,,France Telecom has discontinued the international collect call service.,France Telecom ha suspendido el servicio internacional de llamadas de cobro revertido ,France Telecom a arrêté le service international de communications payables à l'arrivée.
Gibraltar,Gibraltar,Gibraltar,,TRUE,TRUE,,,,,,,,,
Groenland,Greenland,Groenlandia,,TRUE,,,,,,,,Telephone calls requiring the dispatch of a messenger are no longer admitted.,No se admiten llamadas telefónicas que requieran el envío de un mensajero,Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.
Guyana,Guyana,Guyana,TRUE,TRUE,TRUE,,,,,,,,,
Haïti,Haiti,Haiti,TRUE,,,,,,,,,,,
Honduras,Honduras,Honduras,,,TRUE,,,,,,,,,
"Hong Kong, Chine","Hong Kong, China","Hong Kong, China",,TRUE,,,,,,,,The CT2 service are no longer provided,El  servicio CT2 están suprimidos,Le service CT2 ne sont plus assurés.
Hongrie,Hungary,Hungría,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,,
Islande,Iceland,Islandia,TRUE,,TRUE,,,,TRUE,TRUE,,,,
Indonésie,Indonesia,Indonesia,,TRUE,TRUE,,,,,,,PT Indosat no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to PT Indosat,PT Indosat no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a PT Indosat,PT Indosat n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de PT Indosat.
Irlande,Ireland,Irlanda,,,,,,,,,TRUE,,,
Japon,Japan,Japón,,,,,,,,,TRUE,,,
Kenya,Kenya,Kenya,,,,,,,,,,The international telegram messenger delivery services to physical addresses are not accepted.,El servicio internacional de entrega de telegramas por mensajero a direcciones físicas está suprimido,Les services de remise de télégramme international par messager à des adresses physiques ne sont pas acceptés.
Koweït,Kuwait,Kuwait,,,,,,,,,,"Incoming, outgoing and transit telegrams from or to Israel are not accepted.","No se admiten los telegramas con destino u origen en Israel, o en tránsito desde o hacia Israel","Les télégrammes en provenance ou à destination d'Israël ne sont pas acceptés ni à l'arrivée ni au départ, ni en transit. "
Liban,Lebanon,Líbano,,,,,,,,,,"Incoming, outgoing and transit telegrams from or to Israel are not accepted.","No se admiten los telegramas con destino u origen en Israel, o en tránsito desde o hacia Israel","Les télégrammes en provenance ou à destination d'Israël ne sont pas acceptées ni à l'arrivée ni au départ, ni en transit."
Luxembourg,Luxembourg,Luxemburgo,TRUE,TRUE,,,,,,,,EPT announces cancellation of the operator service.,EPT anuncia la cancelación del servicio por operadora ,L'EPT annonce la cessation du service opérateur.
Madagascar,Madagascar,Madagascar,,TRUE,,,,,,,,,,
Malaisie,Malaysia,Malasia,TRUE,,,,,,,,,,,
Malawi,Malawi,Malawi,,,TRUE,,,,,,,,,
Maldives,Maldives,Maldivas,,,,,,,TRUE,TRUE,,,,
Malte,Malta,Malta,TRUE,TRUE,,,,,,,,,,
Maurice,Mauritius,Mauricio,,,,,,,,,,Letter telegrams (LT) and government letter telegrams (LTF) are no longer admitted to and from Mauritius.,No se aceptan con destino u origen en Mauricio telegramas-carta (LT) ni telegramas-carta de Estado (LTF) ,Les télégrammes-lettres (LT) et les télégrammes-lettres d’Etat (LTF) ne sont plus admis à destination et en provenance de Maurice.
Maroc,Morocco,Marruecos,,,TRUE,TRUE,,,,,,,,
Mozambique,Mozambique,Mozambique,TRUE,,,,,,,,,,,
Namibie,Namibia,Namibia,,,TRUE,,,,,,,,,
Pays-Bas,Netherlands,Países Bajos,,,TRUE,,,,,,,,,
Nouvelle-Calédonie,New Caledonia,Nueva Caledonia,TRUE,TRUE,,,,,TRUE,TRUE,,,,
Nouvelle-Zélande,New Zealand,Nueva Zelandia,,TRUE,,,,,,,,,,
Nigéria,Nigeria,Nigeria,,,,,,,,,,"Due to present congestion in Lagos Port, the harbour authority will reject messages from any ship without the following particulars: a) ship's name; b) call sign; c) agent's name; d) overall length; e) draught; f) tonnage loaded; g) nature of cargo; h) last port of call; i) date and local time of ship arrival outside bar.","Debido a la actual congestión en el puerto de Lagos, las autoridades portuarias rechazarán todo mensaje de barco que no contenga los siguientes datos: a) nombre del barco; b) distintivo de llamada; c) nombre del agente; d) eslora total; e) calado; f) tonelaje; g) naturaleza del cargamento; h) último puerto de escala; i) fecha y hora local de llegada del barco a la barra exterior","En raison de l’encombrement du port de Lagos, l’autorité portuaire refusera les messages provenant de quelque navire que ce soit si les indications suivantes ne figurent pas: a) nom du navire; b) indicatif d’appel; c) nom de l’agent; d) longueur hors tout; e) tirant d’eau; f) tonnage chargé; g) nature de la cargaison; h) dernier port d’escale; i) date et heure locale d’arrivée du navire à l’extérieur de la barre. "
Norvège,Norway,Noruega,,,,,,,,,,Telenor will no longer provide collect calls from Norway. Collect calls to Norway will however continue to be accepted.,"Telenor no acepta llamadas de cobro revertido efectuadas desde Noruega, pero seguirá aceptando llamadas de cobro revertido recibidas en el país","Telenor n'acceptera plus de communications payables à l'arrivée en provenance de la Norvège. Toutefois, les communications payables à l'arrivée à destination de la Norvège continueront d'être acceptées."
Pakistan,Pakistan,Pakistán,TRUE,TRUE,,,,,,,,The telecommunication service with Israel is suspended.,El servicio de telecomunicaciones con Israel está suspendido.,Le service de télécommunication avec Israël est suspendu.
Panama,Panama,Panamá,,,TRUE,,,,,,,,,
Papouasie-Nouvelle-Guinée,Papua New Guinea,Papua Nueva Guinea,TRUE,,TRUE,,,,,,,,,
Pérou,Peru,Perú,,,,,,,TRUE,TRUE,,,,
Pologne,Poland,Polonía,TRUE,TRUE,,,,,,,,,,
Russie (Fédération de),Russian Federation,Rusia (Federación de),,,,,,,,,,"Rostelecom announces that letter telegrams (LT), government letter telegrams (LTF) and telegrams with special service ""URGENT"" (Urgent transmission and delivery) are not accepted within the framework of telegraph traffic (terminating and originating) with Russia.","Rostelecom anuncia que, en el marco del tráfico telegráfico (de terminación y de origen) con Rusia, no se aceptan telegramas-carta (LT), telegramas-carta de Estado (LTF) ni telegramas con servicio especial “URGENT” (transmisión y entrega urgentes)","Rostelecom annonce que les télégrammes-lettres (LT), les télégrammes-lettres d’Etat (LTF) et les télégrammes avec le service spécial «URGENT» (transmission et remise urgentes) ne sont pas acceptés dans le cadre du trafic télégraphique avec la Russie (d’arrivée et de départ)."
"Sainte-Hélène, Ascension et Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha","Santa Elena, Ascensión y Tristan da Cunha",TRUE,TRUE,,,,,,,,,,
Sainte-Lucie,Saint Lucia,Santa Lucía,,,TRUE,,,,,,,,,
Saint-Vincent-et-les-Grenadines,Saint Vincent and the Grenadines,San Vicente y las Granadinas,,,TRUE,,,,,,,,,
Samoa,Samoa,Samoa,TRUE,,,,,,,,,,,
