METADATA,,,,,,,,,
4-136-6,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9286,Roshan,TDCA (dba Roshan)
4-136-7,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9287,Roshan,TDCA (dba Roshan)
4-137-0,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9288,MSC-HRT,Etisalat
4-137-1,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9289,MSC-M2R,Etisalat
4-137-2,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9290,MSC-JLD,Etisalat
4-137-3,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9291,MSC-KDR,Etisalat
4-137-4,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9292,KBL1 MSC,Etisalat
4-137-5,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9293,KBL2 MSC,Etisalat
4-137-6,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9294,STP1,Etisalat
4-137-7,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9295,STP2,Etisalat
4-138-0,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9296,Mamss1-mazan,MTN
4-138-1,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9297,Kamss1-PP,MTN
4-138-2,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9298,Jamss1-jalalabad,MTN
4-138-3,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9299,KDRMSS,AWCC
4-138-4,Afghanistan,Afghanistan,Afganistán,Афганистан,阿富汗,أفغانستان,9300,KDRMGW,AWCC
2-152-0,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5312,ISC – Tirana,ALBTelecom
2-152-1,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5313,GMSC – Tirana,AMC (Albanian Mobile Communications)
2-152-3,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5315,GMSC – Tirana,ALBtelecom
2-152-4,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5316,ISC - Durres,ALBTelecom
2-152-6,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5318,GMSC – Tirana,Mobile 4 AL
2-152-7,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,5319,STP- Tirana,PLUS COMMUNICATIONS
3-228-0,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7968,SPX_1.1-MTX1,Vodafone Albania
3-228-1,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7969,SPX_1.2-MTX1,Vodafone Albania
3-228-2,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7970,SPX_2.1-MTX2,Vodafone Albania
3-228-3,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7971,SPX_2.2-MTX2,Vodafone Albania
3-228-4,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7972,PRIMO IXFR,PRIMO COMMUNICATIONS
3-228-5,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7973,ASC-SS7,ALBANIA SATELLITE COMMUNICATIONS
3-228-6,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7974,ABISSNET S01,ABISSNET
3-228-7,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,7975,ALBON-AL-SS7,ALBON
3-233-0,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8008,STP-INT/Durres,ALBtelecom
3-233-1,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8009,GMSC-AMC2,AMC (Albanian Mobile Communications)
3-233-2,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8010,INFOTEL AL,INFO-Telecom
3-233-3,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8011,Tirana 10,NEOFONE
3-233-4,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8012,CT Nisatel Tirana,NISATEL
3-233-5,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8013,ABCom TS1-SOIP,ABCom
3-233-6,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8014,BC_1-MTX1,Vodafone Albania
3-233-7,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,8015,BC_2-MTX2,Vodafone Albania
4-227-0,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,10008,FBD SS7,FBD
4-227-1,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,10009,SELCOM ALBANIA,SELCOM SHPK
4-227-2,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,10010,ACT-Albania,Albanian Carrier Telecommunication
4-227-3,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,10011,Iliria Telecom A,ILIRIA TELECOM A
4-227-5,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,10013,NEO/AL1,NEOTEL ALBANIA
7-219-0,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,16088,PEGASUS ALBANIA,Pegasus Communications  Sh.p.k.
7-219-1,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,16089,Alb.Tel.Partner,Albanian Telecommunication Partners sh.p.k
7-219-2,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,16090,PROTON Communication,Proton Communication Sh.p.k
7-219-3,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,16091,Abronet Albania,ABRONET Sh.p.k
7-219-4,Albania,Albanie,Albania,Албания,阿尔巴尼亚,ألبانيا,16092,UNIFI Albania,UNIFI Holdings INC Dega në Shqiperi
6-006-0,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12336,,ex.Consortium Algérie Télécom
6-006-1,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12337,Alger ISC,Algérie Télécom (AT)
6-006-2,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12338,,Algérie Télécom (AT)
6-006-3,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12339,Oran ISC,Algérie Télécom (AT)
6-006-4,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12340,Constantine ISC,Algérie Télécom (AT)
6-006-5,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12341,,Orascom Télécom Algérie (OTA)
6-006-6,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12342,,Wataniya Télécom Algérie (WTA)
6-006-7,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12343,"Alger MSC (GSM, mobile)",Algérie Télécom Mobile (ATM)
6-007-1,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12345,,Algérie Télécom (AT)
6-007-2,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12346,,Orascom Télécom Algérie (OTA)
6-007-3,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12347,,Orascom Télécom Algérie (OTA)
6-007-4,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12348,,Wataniya Télécom Algérie (WTA)
6-007-5,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12349,,Wataniya Télécom Algérie (WTA)
6-007-6,Algeria,Algérie,Argelia,Алжир,尔及利亚,الجزائر,12350,,Wataniya Télécom Algérie (WTA)
5-088-0,American Samoa,Samoa américaines ,"Samoa Americana

",Американское Самоа,美属萨摩亚,ساموا الأمريكية,10944,"Pago Pago, American Samoa",American Samoa Telecommunications Authority (ASTCA)
2-196-1,Andorra,Andorre,Andorra,Андорра,安道尔,آندورا,5665,Andorra AXE,Servei de Telecomunicacions d'Andorra
6-062-0,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12784,ISC1,Angola Telecom
6-062-1,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12785,ISC2,Angola Telecom
6-062-2,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12786,ISC3,Unitel
6-062-3,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12787,ISC4,Unitel
6-062-4,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12788,ISC5,Nexus
6-062-5,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12789,ISC6,Movicel
6-062-6,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12790,ISC7,Mundo Startel
6-062-7,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12791,ISC8,Mundo Startel
6-063-0,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12792,ISC1,Unitel
6-063-2,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12794,ISC3,Movicel
6-063-3,Angola,Angola,Angola,Ангола,安哥拉,أنغولا,12795,ISC4,ItelNet
3-168-0,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7488,TDMA Mobile Switch,Cable and Wireless
3-168-1,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7489,PSTN Switch,Cable and Wireless
3-168-2,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7490,GSM Base Station Controller E3,Cable and Wireless
3-168-3,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7491,Voicemail,Cable and Wireless
3-168-4,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7492,Pre-Paid Platform,Cable and Wireless
3-168-5,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7493,International STP PSTN Switch to Call Server,Cable and Wireless
3-168-6,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7494,GSM Base Station Controller 2G,Cable and Wireless
3-168-7,Anguilla,Anguilla,Anguilla,Ангилья,安圭拉,أنغويلا,7495,International STP Mobile Switch to Call Server,Cable and Wireless
3-088-0,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6848,NEAX61E INTS,Cable & Wireless
3-088-1,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6849,Ericsson APG40 MSC,Digicel
3-088-2,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6850,SS8 Voicemail,Cable & Wireless
3-088-3,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6851,BCG prepaid,Cable & Wireless
3-088-4,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6852,Voicemail 1,APUA/PCS
3-088-5,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6853,Voicemail 2,APUA/PCS
3-088-6,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6854,ANMUBSC41 E3,Cable & Wireless
3-088-7,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Бурбуда,安提瓜和巴布达,أنتيغوا وبربودا,6855,DMS MSC,APUA/PCS
7-040-0,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14656,"Ruta 180, Km15. Paraje Bosque Alegre, Departamento Punilla, Provincia de Córdoba",TESAM ARGENTINA S.A.
7-040-1,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14657,"Emilio Lamarca 2482 - Talar de Pacheco, Tigre, buenos Aires / TORCUATO",AMX Argentina S.A. (ex CTI Compañia de Teléfonos del Interior S.A.)
7-041-0,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14664,Artigas II,Impsat S.A.
7-041-1,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14665,Esmeralda II,Impsat S.A.
7-041-2,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14666,STP-1 Telefónica Unifon,Telefónica Comunicaciones Personales S.A.
7-041-3,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14667,STP-2 Telefónica Unifon,Telefónica Comunicaciones Personales S.A.
7-041-4,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14668,CIBA NGN,Telecom Argentina S.A.
7-041-5,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14669,CWAY SG BA1,Cableway S.A.
7-041-6,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14670,CCT1 Argentina,Comte Communications Technology S.A.
7-041-7,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14671,Av. Forest 362 - Ciudad Autónoma de Buenos Aires / FOREST,AMX Argentina S.A. (ex CTI Compañia de Teléfonos del Interior S.A.)
7-042-0,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14672,Ciudad de Buenos Aires - Nodo 1,Tecoar S.A.
7-042-1,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14673,RASA-01,Red Alternativa S.A.
7-042-2,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14674,Buenos Aires/STP Clinicas,Telecom Personal S.A.
7-042-3,Argentina,Argentine,Argentina,Аргентина,阿根廷,الأرجنتين,14675,Darwin,Telecom Personal S.A.
