1a,1b,2,3,4a,4b,4c
,BUDAPEST,+36 1 153 46 70,3/2,N,N,N
,Bureau de poste de Budapest 62,+36 1 131 95 62,3,N,N,N
,Teréz Krt. 105,+36 1 131 96 62,3,N,N,N
