1a,1b,2,3,4a,4b,4c
,BLANTYRE,+265 1 635088,3,0730-1800,0800-1600,0800-1600
,ALTERNATIVE MAIN INTERNATIONAL BUREAUX,,,,,
,LILONGWE,+265 1 743457,3,0730-1800,0800-1600,0800-1600
,LIMBE,+265 1 640910,3,0730-1800,0800-1600,0800-1600
,MZUZU,+265 1 335025,3,0730-1800,0800-1600,0800-1600
,ZOMBA,+265 1 533058,3,0730-1800,0800-1600,0800-1600
