1a,1b,2,3,4a,4b,4c
,HARARE Harare Post Office Public Bureaufax Office,+263 4 731 901 +263 4 731 902,3/2,0830-1700,0800-1130,-
,,,,,,
,Bulawayo,HARARE,,,,
,Gweru,HARARE,,,,
,Kadoma,HARARE,,,,
,Kwekewe,HARARE,,,,
,Maswingo,HARARE,,,,
,Mutare,HARARE,,,,
