1a,1b,2,3,4a,4b,4c
,FRANCISTOWN Botswana Telecommunications Corporation,+267 241 3000,3/2,0815-1600,0815-1130,-
,GABORONE Botswana Telecommunications Corporation P.O. Box 700,+267 391 4000,3/2,0815-1630,0815-1130,-
