1a,1b,2,3,4a,4b,4c
,BAKU,+994 12 465 1108,3,0900-1800,0900-1800,0900-1800
,"Baku Telegraph Prospecti 41, Baku Avenue",+994 12 498 5525,3,0900-1800,0900-1800,0900-1800
