1a,1b,2,3,4a,4b,4c
,PARAMARIBO Telecommunicatiebedrijf Suriname (TELESUR) Heiligenweg No.1,+597 410555,3/2,0700-2400,0700-2400,0700-2400
,,,,,,
,Coronie,PARAMARIBO,,,,
,Latour,PARAMARIBO,,,,
,Moengo,PARAMARIBO,,,,
,New Nickerie,PARAMARIBO,,,,
,Nieuw Amsterdam,PARAMARIBO,,,,
,Wageningen,PARAMARIBO,,,,
,Wanicaplein (Poelepantje),PARAMARIBO,,,,
