1a,1b,2,3,4a,4b,4c
,GOBABIS,+264 681 2608,3,0830-1300 1400-1630,0800-1200,-
,GROOTFONTEIN,+264 673 13414,3,0830-1300 1400-1630,0800-1200,-
,KEETMANSHOOP,+264 631 2011,3,0830-1300 1400-1630,0800-1200,-
,MARIENTAL,+264 661 588,3,0830-1300 1400-1630,0800-1200,-
,OSHAKATI,+264 675 121528,3,0830-1300 1400-1630,0800-1200,-
,OTJIWARONGO,+264 651 3500,3,0830-1300 1400-1630,0800-1200,-
,SWAKOPMUND,+264 641 2720,3,0830-1300 1400-1630,0800-1200,-
,TSUMEB,+264 671 21811,3,0830-1300 1400-1630,0800-1200,-
,WINDHOEK,+264 61 228988,3,0830-1300 1400-1630,0800-1200,-
