1a,1b,2,3,4a,4b,4c
,"ADDIS ABABA Telecommunication, Regional Office P.O. Box 1149",+251 1 517454,03-Feb,0700-2300,0700-2300,0700-2300
,"ADIDIS ABABA ECA ECA Building, Africa Hall Menelik II Ave P.O. Box 1149",+251 1 514682,03-Feb,0830-1300 1430-1730,-,-
