1a,1b,2,3,4a,4b,4c
,"AUCKLAND 2) Faxpost Service Centre 4, Carbine Road Mt Wellington",+64 9 574 0413,3/2,0600-1900,0700-1300,-
,"CHRISTCHURCH 3) Faxpost Service Centre 53-59, Hereford Street",+64 3 377 1994,3/2,0800-1800,0600-1000,-
,"WELLINGTON 4) Faxpost Service Centre 77, Thorndon Quay",+64 4 4728 968,3/2,0500-1800,0700-1100,-
