1a,1b,2,3,4a,4b,4c
,ACCRA,+233 21 665960,3/2,0800-1900,0800-1300,-
,Central Bureaufax External Telecommunications Service P.O. Box 32,+233 21 662680,3/2,0800-1900,0800-1300,-
