1a,1b,2,3,4a,4b,4c
,"PORT OF SPAIN TSTT Texfax Department, 1, Edward Street",+1 868 627 0856 +1 868 625 6980,3/2,0800-1600 0800-1600,-,-
,S FERNANDO TSTT S James Street,+1 868 652 7721,3/2,0800-1600,-,-
,TOBAGO TSTT Caroline Building Cor Claude Noel Highway and Wilson Road Scarborough,+1 868 639 4122,3/2,0800-1600,-,-
