1a,1b,2,3,4a,4b,4c
M200,MANIZNI Bureaufax,+268 25055300,3/2,0800-1630,0800-1200,-
H100,MBABANE Bureaufax,+268 24046133,3/2,0800-1630,0800-1200,-
S400,NHLANGANO Bureaufax,+268 22078608,3/2,0800-1630,0800-1200,-
