1a,1b,2,3,4a,4b,4c
,HODEIDAH Yemen International Telecommunications Company (LLC.) (TELEYEMEN) 26 September Street P.O. Box 3429,+967 3 217542,3/2,0800-2000 Saturday to Thursday. 0800-1130 and 1600-2200 Friday and public holidays,0800-2000 Saturday to Thursday. 0800-1130 and 1600-2200 Friday and public holidays,0800-2000 Saturday to Thursday. 0800-1130 and 1600-2200 Friday and public holidays
,SANA'A Yemen International Telecommunications Company (LLC.) (TELEYEMEN) Al-Zubairi Street P.O. Box 168,+967 1 275407,3/2,0800-2400 Saturday to Thursday. 0800-1200 and 1400-2200 Friday and public holidays,0800-2400 Saturday to Thursday. 0800-1200 and 1400-2200 Friday and public holidays,0800-2400 Saturday to Thursday. 0800-1200 and 1400-2200 Friday and public holidays
,TAIZ Yemen International Telecommunications Company (LLC.) (TELEYEMEN) 26 September Street P.O. Box 6135,+967 4 213491,3/2,0800-2000 Saturday to Thursday. 0800-1200 and 1700-2000 Friday and public holidays,0800-2000 Saturday to Thursday. 0800-1200 and 1700-2000 Friday and public holidays,0800-2000 Saturday to Thursday. 0800-1200 and 1700-2000 Friday and public holidays
