1a,1b,2,3,4a,4b,4c
11599,CAIRO,+20 2 3904250,3,0000-2400 Saturday to Thursday no service Friday and public holidays,0000-2400 Saturday to Thursday no service Friday and public holidays,0000-2400 Saturday to Thursday no service Friday and public holidays
,Intelpost Service,+20 2 3923886,3,0000-2400 Saturday to Thursday no service Friday and public holidays,0000-2400 Saturday to Thursday no service Friday and public holidays,0000-2400 Saturday to Thursday no service Friday and public holidays
