1a,1b,2,3,4a,4b,4c
,GRAND TURK,+1 649 946 2497,3/2,"Receiving: continuous. Opening hours:  0800-1630 Monday to Thursday, 0800-1600 Friday",Receiving: continuous,Receiving: continuous
,PROVIDENCIALES,+1 649 946 4210,3/2,"Receiving: continuous. Opening hours:  0800-1630 Monday to Thursday, 0800-1600 Friday",Receiving: continuous,Receiving: continuous
