1a,1b,2,3,4a,4b,4c
,LABASA Labasa Post Office Nasekula Road,+679 8813666,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-
,LAUTOKA Lautoka Post Office Vitogo Parade,+679 6664666,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-
,NADI Nadi Post Office Queens Road,+679 6702166,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-
,NAMAKA Nadi Airport Post Office,+679 6720467,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-
,SIGATOGA Sigatoga Post Office Lawaqa,+679 6520220,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-
,SUVA FINTEL Fintel Bureau Mercury House 158 Victoria Parade,+679 3301025,3/2,N,N,N
,SUVA P.O. Post Office Bureau General Post Office (Ground Floor) Thompson Street,+679 3302666,3,0800-1630 Monday to Thursday 0800-1600 Friday,-,-

