METADATA,,,,,,,,,,,,,,,,,,,,,,,,
title.en,List of Country or Geographical Area Codes for Non-standard Facilities in Telematic Services,,,,,,,,,,,,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS OU DE ZONE GÉOGRAPHIQUE POUR LES FACILITÉS NON NORMALISÉES DANS LES SERVICES DE TÉLÉMATIQUE,,,,,,,,,,,,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS O DE ZONA GEOGRÁFICA PARA FACILIDADES NO NORMALIZADAS DE LOS SERVICIOS TELEMÁTICOS,,,,,,,,,,,,,,,,,,,,,,,
code_bit.en,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.en,Country or geographical area,,,,,,,,,,,,,,,,,,,,,,,
notes.en,NOTE,,,,,,,,,,,,,,,,,,,,,,,
code_bit.fr,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,,,,,,,,,,,,
notes.fr,NOTE ,,,,,,,,,,,,,,,,,,,,,,,
code_bit.es,Código Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.es,País o zona geográfica,,,,,,,,,,,,,,,,,,,,,,,
notes.es,NOTA ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA,name=code_bit,,,,,,,,,,,,,,,,,,,,,,,
code_bit,country_or_area.en,country_or_area.fr,country_or_area.es,notes.en,notes.fr,notes.es,,,,,,,,,,,,,,,,,,
00110100,Dominica,Dominique,Dominica,,,,,,,,,,,,,,,,,,,,,
00110101,Ecuador,Equateur,Ecuador,,,,,,,,,,,,,,,,,,,,,
00110110,Egypt,Egypte,Egipto,,,,,,,,,,,,,,,,,,,,,
00110111,El Salvador,El Salvador,El Salvador,,,,,,,,,,,,,,,,,,,,,
00111000,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,,,
00111001,Ethiopia,Ethiopie,Etiopía,,,,,,,,,,,,,,,,,,,,,
00111010,Falkland Islands (Malvinas),Falkland (Iles) (Malvinas),Malvinas (Islas) (Falkland),,,,,,,,,,,,,,,,,,,,,
00111011,Fiji,Fidji,Fiji,,,,,,,,,,,,,,,,,,,,,
00111100,Finland,Finlande,Finlandia,,,,,,,,,,,,,,,,,,,,,
00111101,France,France,Francia,,,,,,,,,,,,,,,,,,,,,
00111110,French Polynesia,Polynésie française,Polinesia francesa ,,,,,,,,,,,,,,,,,,,,,
00111111,(Available),(Disponible),(Disponible),,,,,,,,,,,,,,,,,,,,,
01000000,Gabon,Gabon,Gabón,,,,,,,,,,,,,,,,,,,,,
01000001,Gambia,Gambie,Gambia,,,,,,,,,,,,,,,,,,,,,
01000010,Germany,Allemagne,Alemania,,,,,,,,,,,,,,,,,,,,,
01000011,Angola,Angola,Angola,,,,,,,,,,,,,,,,,,,,,
01000100,Ghana,Ghana,Ghana,,,,,,,,,,,,,,,,,,,,,
01000101,Gibraltar,Gibraltar,Gibraltar,,,,,,,,,,,,,,,,,,,,,
01000110,Greece,Grèce,Grecia,,,,,,,,,,,,,,,,,,,,,
01000111,Grenada,Grenade,Granada,,,,,,,,,,,,,,,,,,,,,
01001000,Guam,Guam,Guam,,,,,,,,,,,,,,,,,,,,,
01001001,Guatemala,Guatemala,Guatemala,,,,,,,,,,,,,,,,,,,,,
01001010,Guernsey,Guernesey,Guernsey,,,,,,,,,,,,,,,,,,,,,
01001011,Guinea,Guinée,Guinea,,,,,,,,,,,,,,,,,,,,,
01001100,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,
01001101,Guyana,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,
01001110,Haiti,Haïti,Haití,,,,,,,,,,,,,,,,,,,,,
01001111,Honduras,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,
01010000,"Hong Kong, China","Hong Kong, Chine","Hong Kong, China",,,,,,,,,,,,,,,,,,,,,
01010001,Hungary,Hongrie,Hungría (República de),,,,,,,,,,,,,,,,,,,,,
01010010,Iceland,Islande,Islandia,,,,,,,,,,,,,,,,,,,,,
01010011,India,Inde,India,,,,,,,,,,,,,,,,,,,,,
01010100,Indonesia,Indonésie,Indonesia,,,,,,,,,,,,,,,,,,,,,
01010101,Iran (Islamic Republic of),Iran (République islamique d’),Irán (República Islámica del),,,,,,,,,,,,,,,,,,,,,
01010110,Iraq,Iraq,Iraq,,,,,,,,,,,,,,,,,,,,,
01010111,Ireland,Irlande,Irlanda,,,,,,,,,,,,,,,,,,,,,
01011000,Israel,Israël,Israel,,,,,,,,,,,,,,,,,,,,,
01011001,Italy,Italie,Italia,,,,,,,,,,,,,,,,,,,,,
01011010,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,
01011011,Jamaica,Jamaïque,Jamaica,,,,,,,,,,,,,,,,,,,,,
01011100,Afghanistan,Afghanistan,Afganistán,,,,,,,,,,,,,,,,,,,,,
01011101,Jersey,Jersey,Jersey,,,,,,,,,,,,,,,,,,,,,
01011110,Jordan,Jordanie,Jordania,,,,,,,,,,,,,,,,,,,,,
01011111,Kenya,Kenya,Kenya,,,,,,,,,,,,,,,,,,,,,
01100000,Kiribati,Kiribati,Kiribati,,,,,,,,,,,,,,,,,,,,,
01100001,Korea (Rep. of),Corée (Rép. de),Corea (Rep. de),,,,,,,,,,,,,,,,,,,,,
01100010,Kuwait,Koweït,Kuwait,,,,,,,,,,,,,,,,,,,,,
01100011,Lao P.D.R.,Lao (R.d.p.),Lao (R.D.P.),,,,,,,,,,,,,,,,,,,,,
01100100,Lebanon,Liban,Líbano,,,,,,,,,,,,,,,,,,,,,
01100101,Lesotho,Lesotho,Lesotho,,,,,,,,,,,,,,,,,,,,,
01100110,Liberia,Libéria,Liberia,,,,,,,,,,,,,,,,,,,,,
01100111,Libya,Libye,Libia,,,,,,,,,,,,,,,,,,,,,
01101000,Liechtenstein,Liechtenstein,Liechtenstein,,,,,,,,,,,,,,,,,,,,,
01101001,Luxembourg,Luxembourg,Luxemburgo,,,,,,,,,,,,,,,,,,,,,
01101010,"Macao, China","Macao, Chine","Macao, China",,,,,,,,,,,,,,,,,,,,,
01101011,Madagascar,Madagascar,Madagascar,,,,,,,,,,,,,,,,,,,,,
01101100,Malaysia,Malaisie,Malasia,,,,,,,,,,,,,,,,,,,,,
01101101,Malawi,Malawi,Malawi,,,,,,,,,,,,,,,,,,,,,
01101110,Maldives,Maldives,Maldivas,,,,,,,,,,,,,,,,,,,,,
01101111,Mali,Mali,Malí,,,,,,,,,,,,,,,,,,,,,
01110000,Malta,Malte,Malta,,,,,,,,,,,,,,,,,,,,,
01110001,Mauritania,Mauritanie,Mauritania,,,,,,,,,,,,,,,,,,,,,
01110010,Mauritius,Maurice,Mauricio,,,,,,,,,,,,,,,,,,,,,
01110011,Mexico,Mexique,México,,,,,,,,,,,,,,,,,,,,,
01110100,Monaco,Monaco,Mónaco,,,,,,,,,,,,,,,,,,,,,
01110101,Mongolia,Mongolie,Mongolia,,,,,,,,,,,,,,,,,,,,,
01110110,Montserrat,Montserrat,Montserrat,,,,,,,,,,,,,,,,,,,,,
01110111,Morocco,Maroc,Marruecos,,,,,,,,,,,,,,,,,,,,,
01111000,Mozambique,Mozambique,Mozambique,,,,,,,,,,,,,,,,,,,,,
01111001,Nauru,Nauru,Nauru,,,,,,,,,,,,,,,,,,,,,
01111010,Nepal,Népal,Nepal,,,,,,,,,,,,,,,,,,,,,
01111011,Netherlands,Pays-Bas,Países Bajos,,,,,,,,,,,,,,,,,,,,,
01111100,Curaçao ,Curaçao,Curaçao,,,,,,,,,,,,,,,,,,,,,
01111101,New Caledonia,Nouvelle-Calédonie,Nueva Caledonia,,,,,,,,,,,,,,,,,,,,,
01111110,New Zealand,Nouvelle-Zélande,Nueva Zelandia,,,,,,,,,,,,,,,,,,,,,
01111111,Nicaragua,Nicaragua,Nicaragua,,,,,,,,,,,,,,,,,,,,,
10000000,Niger,Niger,Níger,,,,,,,,,,,,,,,,,,,,,
10000001,Nigeria,Nigéria,Nigeria,,,,,,,,,,,,,,,,,,,,,
10000010,Norway,Norvège,Noruega,,,,,,,,,,,,,,,,,,,,,
10000011,Oman,Oman,Omán,,,,,,,,,,,,,,,,,,,,,
10000100,Pakistan,Pakistan,Pakistán,,,,,,,,,,,,,,,,,,,,,
10000101,Panama,Panama,Panamá,,,,,,,,,,,,,,,,,,,,,
10000110,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nueva Guinea,,,,,,,,,,,,,,,,,,,,,
10000111,Paraguay,Paraguay,Paraguay,,,,,,,,,,,,,,,,,,,,,
10001000,Peru,Pérou,Perú,,,,,,,,,,,,,,,,,,,,,
10001001,Philippines,Philippines,Filipinas,,,,,,,,,,,,,,,,,,,,,
10001010,Poland,Pologne,Polonia,,,,,,,,,,,,,,,,,,,,,
10001011,Portugal,Portugal,Portugal,,,,,,,,,,,,,,,,,,,,,
10001100,Puerto Rico,Puerto Rico,Puerto Rico,,,,,,,,,,,,,,,,,,,,,
10001101,Qatar,Qatar,Qatar,,,,,,,,,,,,,,,,,,,,,
10001110,Romania,Roumanie,Rumania,,,,,,,,,,,,,,,,,,,,,
10001111,Rwanda,Rwanda,Rwanda,,,,,,,,,,,,,,,,,,,,,
10010000,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,San Kitts y Nevis,,,,,,,,,,,,,,,,,,,,,
10010001,Saint Croix,Sainte-Croix,Santa Cruz,,,,,,,,,,,,,,,,,,,,,
